seriesID,year,period,value
CES5500000003,2017,M05,32.86
CES5500000003,2017,M04,32.89
CES5500000003,2017,M03,32.78
CES5500000003,2017,M02,32.83
CES5500000003,2017,M01,32.65
CES5500000003,2016,M12,32.69
CES5500000003,2016,M11,32.62
CES5500000003,2016,M10,32.44
CES5500000003,2016,M09,32.57
CES5500000003,2016,M08,32.48
CES5500000003,2016,M07,32.42
CES5500000003,2016,M06,32.21
CES5500000003,2016,M05,32.2
CES5500000003,2016,M04,32.15
CES5500000003,2016,M03,32.19
CES5500000003,2016,M02,32.02
CES5500000003,2016,M01,32.03
CES5000000003,2021,M08,44.46
CES5000000003,2021,M07,44.33
CES5000000003,2021,M06,44.25
CES5000000003,2021,M05,44.16
CES5000000003,2021,M04,44.28
CES5000000003,2021,M03,43.83
CES5000000003,2021,M02,44.57
CES5000000003,2021,M01,44.35
CES5000000003,2020,M12,44.28
CES5000000003,2020,M11,44.4
CES5000000003,2020,M10,44.77
CES5000000003,2020,M09,43.93
CES5000000003,2020,M08,44
CES5000000003,2020,M07,44.09
CES5000000003,2020,M06,43.51
CES5000000003,2020,M05,43.62
CES5000000003,2020,M04,43.66
CES5000000003,2020,M03,43.25
CES5000000003,2020,M02,42.95
CES5000000003,2020,M01,42.85
CES5000000003,2019,M12,42.63
CES5000000003,2019,M11,42.59
CES5000000003,2019,M10,42.38
CES5000000003,2019,M09,42.31
CES5000000003,2019,M08,42.98
CES5000000003,2019,M07,42.31
CES5000000003,2019,M06,41.9
CES5000000003,2019,M05,42.02
CES5000000003,2019,M04,41.96
CES5000000003,2019,M03,41.95
CES5000000003,2019,M02,41.78
CES5000000003,2019,M01,41.72
CES5000000003,2018,M12,41.5
CES5000000003,2018,M11,41.1
CES5000000003,2018,M10,40.98
CES5000000003,2018,M09,40.74
CES5000000003,2018,M08,40.18
CES5000000003,2018,M07,39.8
CES5000000003,2018,M06,39.81
CES5000000003,2018,M05,39.6
CES5000000003,2018,M04,39.48
CES5000000003,2018,M03,39.27
CES5000000003,2018,M02,39.13
CES5000000003,2018,M01,38.93
CES5000000003,2017,M12,38.8
CES5000000003,2017,M11,38.68
CES5000000003,2017,M10,38.5
CES5000000003,2017,M09,38.63
CES5000000003,2017,M08,38.71
